"","tournament","prize","surface","round","p1_rank","p2_rank","p1_rank_move","p2_rank_move","p1_age","p2_age","p1_height","p2_height","p1_weight","p2_weight","p1_hand","p2_hand","p1_nat","p2_nat","no_sets","best_of"
"60","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0841346153846154,0.0356626506024096,0.448484848484848,0.401705115346038,0.368421052631579,0.631578947368421,0.485714285714286,0.4,0.457142857142857,0.371428571428571,"Left","Right","USA","Oceania","X3","3"
"61","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0612980769230769,0.0612048192771084,0.482575757575758,0.409227683049147,0.473684210526316,0.157894736842105,0.342857142857143,0.566666666666667,0.342857142857143,0.428571428571429,"Left","Right","USA","Oceania","X3","3"
"62","Sydney1",0.00781007798154198,"Hard","Roundof32",0.177283653846154,0.0409638554216867,0.356060606060606,0.404212637913741,0.315789473684211,0.736842105263158,0.428571428571429,0.566666666666667,0.485714285714286,0.685714285714286,"Right","Right","NEurope","Oceania","X3","3"
"63","Melbourne1",0.00396465790666062,"Carpet","Finals",0.0745192307692308,0.00289156626506024,0.439393939393939,0.414242728184554,0.631578947368421,0.157894736842105,0.342857142857143,0.5,0.285714285714286,0.628571428571429,"Right","Right","USA","Oceania","X3","3"
"64","Melbourne1",0.00396465790666062,"Carpet","SemiFinals",0.00360576923076923,0.0448192771084337,0.437878787878788,0.406218655967904,0.157894736842105,0.526315789473684,0.428571428571429,1,0.6,0.942857142857143,"Right","Right","Oceania","USA","X2","3"
"65","Melbourne1",0.00396465790666062,"Carpet","SemiFinals",0.0745192307692308,0.0183132530120482,0.439393939393939,0.412236710130391,0.631578947368421,0.473684210526316,0.342857142857143,0.666666666666667,0.285714285714286,0.628571428571429,"Right","Right","USA","USA","X2","3"
"66","Melbourne1",0.00396465790666062,"Carpet","QuarterFinals",0.00360576923076923,0.0289156626506024,0.437878787878788,0.405215646940822,0.157894736842105,0.263157894736842,0.428571428571429,0.4,0.6,0.4,"Right","Right","Oceania","Oceania","X3","3"
"67","Melbourne1",0.00396465790666062,"Carpet","QuarterFinals",0.0228365384615385,0.0587951807228916,0.434848484848485,0.394182547642929,0.473684210526316,0.473684210526316,0.571428571428571,0.166666666666667,0.6,0.114285714285714,"Right","Right","USA","USA","X2","3"
"68","Melbourne1",0.00396465790666062,"Carpet","QuarterFinals",0.0558894230769231,0.0491566265060241,0.425757575757576,0.44383149448345,0.526315789473684,0.473684210526316,0.857142857142857,0.4,0.914285714285714,0.371428571428571,"Right","Left","USA","USA","X2","3"
"69","Melbourne1",0.00396465790666062,"Carpet","QuarterFinals",0.0745192307692308,0.0419277108433735,0.439393939393939,0.398194583751254,0.631578947368421,0.526315789473684,0.342857142857143,0.566666666666667,0.285714285714286,0.485714285714286,"Right","Left","USA","Oceania","X2","3"
"70","Melbourne1",0.00396465790666062,"Carpet","Roundof16",0.0745192307692308,0.00771084337349398,0.439393939393939,0.408726178535607,0.631578947368421,0.526315789473684,0.342857142857143,0.333333333333333,0.285714285714286,0.171428571428571,"Right","Right","USA","USA","X3","3"
"71","Melbourne1",0.00396465790666062,"Carpet","Roundof16",0.00360576923076923,0.113734939759036,0.437878787878788,0.391173520561685,0.157894736842105,0.894736842105263,0.428571428571429,0.5,0.6,0.428571428571429,"Right","Right","Oceania","Oceania","X3","3"
"72","Melbourne1",0.00396465790666062,"Carpet","Roundof16",0.0228365384615385,0.0539759036144578,0.434848484848485,0.407221664994985,0.473684210526316,0.526315789473684,0.571428571428571,0.766666666666667,0.6,0.571428571428571,"Right","Right","USA","USA","X3","3"
"73","Melbourne1",0.00396465790666062,"Carpet","Roundof16",0.0360576923076923,0.0462650602409639,0.424242424242424,0.410732196589769,0.263157894736842,0.315789473684211,0.342857142857143,0.666666666666667,0.371428571428571,0.571428571428571,"Right","Right","Oceania","Oceania","X3","3"
"74","Melbourne1",0.00396465790666062,"Carpet","Roundof16",0.0558894230769231,0.0626506024096386,0.425757575757576,0.417753259779338,0.526315789473684,0.368421052631579,0.857142857142857,0.833333333333333,0.914285714285714,0.485714285714286,"Right","Right","USA","USA","X2","3"
"75","Melbourne1",0.00396465790666062,"Carpet","Roundof16",0.0522836538461538,0.125301204819277,0.413636363636364,0.400200601805416,0.526315789473684,0.842105263157895,0.485714285714286,0.4,0.457142857142857,0.8,"Left","Right","Oceania","Oceania","X2","3"
"76","Melbourne1",0.00396465790666062,"Carpet","Roundof16",0.0733173076923077,0.0520481927710843,0.407575757575758,0.416750250752257,0.473684210526316,0.157894736842105,0.142857142857143,0.166666666666667,0.0857142857142857,0.371428571428571,"Right","Right","USA","Oceania","X2","3"
